fold,test_start,test_end,n_test,lstm_rmse_h1,lstm_mae_h1,lstm_mape_h1,baseline_rmse_h1,baseline_mae_h1,baseline_mape_h1,lstm_rmse_h2,lstm_mae_h2,lstm_mape_h2,baseline_rmse_h2,baseline_mae_h2,baseline_mape_h2,lstm_rmse_h3,lstm_mae_h3,lstm_mape_h3,baseline_rmse_h3,baseline_mae_h3,baseline_mape_h3
0,1991-04-01,1996-12-01,69,0.15590526163578033,0.12278039753437042,0.08421767503023148,0.3739722669124603,0.34057971835136414,0.2327314168214798,0.23027710616588593,0.1905975341796875,0.13052153587341309,0.7207081913948059,0.6869564056396484,0.4684044122695923,0.2711397111415863,0.2326863557100296,0.1582067459821701,1.0656018257141113,1.039130449295044,0.7071826457977295
1,1997-01-01,2002-09-01,69,0.3002987504005432,0.22777922451496124,0.13367627561092377,0.4403560161590576,0.34782674908638,0.20478884875774384,0.45371270179748535,0.36788409948349,0.2162747085094452,0.7742229700088501,0.6637688279151917,0.3905772268772125,0.504702091217041,0.38507169485092163,0.22631928324699402,1.0797884464263916,0.9666670560836792,0.5683737993240356
2,2002-10-01,2008-06-01,69,0.5733469128608704,0.40655627846717834,0.2076314240694046,0.7545894384384155,0.6165508031845093,0.3134500980377197,0.9305271506309509,0.6639981269836426,0.3386085033416748,1.356050968170166,1.1746375560760498,0.5948033332824707,1.1319959163665771,0.8084605932235718,0.40971726179122925,1.8976119756698608,1.6712027788162231,0.8424953818321228
3,2008-07-01,2014-03-01,69,0.8286245465278625,0.5181988477706909,0.23483936488628387,0.87492835521698,0.6197971701622009,0.2798827588558197,1.4758625030517578,0.8837530016899109,0.40144962072372437,1.5473049879074097,1.1162759065628052,0.5037024021148682,1.9038747549057007,1.1239978075027466,0.511842668056488,2.0394132137298584,1.5314494371414185,0.6906677484512329
4,2014-04-01,2019-12-01,69,0.49500560760498047,0.36514347791671753,0.15070728957653046,0.5554029941558838,0.458246648311615,0.1878533810377121,0.8610495924949646,0.6155528426170349,0.254594087600708,0.9931933283805847,0.8313775658607483,0.34004008769989014,1.164713740348816,0.78766930103302,0.3260340392589569,1.3868905305862427,1.1948270797729492,0.48698171973228455
